id;user_uuid;full_name;phone;adress;is_active
1;dea1df3d-598b-41c7-8783-b86850bf5dc1;Granite c Haute-Normandie;0210313592;Pants Fish Manat;true
2;40de582e-e6ae-40da-a6cf-71b11330189d;Charron hub Intelligent;+33 360250173;El Laos deposit;true
3;e26b96ae-f848-4d2f-bb18-a70da95e2590;Granite;0101012040;connect enhance Fish;true
4;6d5e66e0-0399-475f-adb0-3f405563c7a5;Developpeur partnerships Zadkine;+33 323725076;Rhône-Alpes;false
5;df48ba72-f42f-4a3d-96b0-9ab9d66a8f83;card clicks-and-mortar Panoramas;0604927661;Plastic Savings;true
6;142a5492-e26a-4b70-a0cd-70d46eb50c8d;CFP Berkshire calculate;0353758417;HTTP;false
7;0664e81b-5643-4728-97d9-3a3463389a46;Franche-Comté b;+33 384962488;Intelligent Down-sized;true
8;9cfb09bb-956d-40d3-93bd-9a053575e301;invoice;+33 391833853;Cambridgeshire Boétie;false
9;c3424a43-0511-475b-8b32-2e231306bc6c;compressing firewall;+33 494994687;CSS Cambridgeshire;true
10;4115682a-95a4-47bf-bec5-8f3259d2829a;global;0412236913;interactive empower;false
